area,price17,sales17,births17,busscore17,busscoreweekend17,derelictall17,childbenefit17,familiesbenefit17,popall17,death17,occup17,longempty17,sechomes17,totaldwel17,ill17,depr17,alco17,mortality17,unempl17,unempcountl17,flatsratio17,flatscount17,rooms17,hectare17
http://statistics.gov.scot/id/statistical-geography/S01009308,110500,18,6,4.439E1,2.856E1,3.13E1,35,25,490,5,92,4,1,343,65,16.87,95.12,81,10,37,8.69E1,293,3,1.643E1
http://statistics.gov.scot/id/statistical-geography/S01009309,112090,20,7,4.72E1,3.199E1,4.7E0,110,75,747,4,93,4,0,418,70,16.5,42.16,68,8,44,6.82E1,292,3,1.761E1
http://statistics.gov.scot/id/statistical-geography/S01008686,164404,20,4,1.6146E2,1.0959E2,0.0E0,75,50,1252,20,96,2,0,701,165,19.01,114.39,177,10,100,9.96E1,678,3,1.841E1
http://statistics.gov.scot/id/statistical-geography/S01008687,167028,22,3,6.11E0,4.23E0,0.0E0,30,25,707,2,91,7,2,400,60,11.86,119.51,47,6,36,99,416,2,1.5373E2
http://statistics.gov.scot/id/statistical-geography/S01008688,216302,17,3,6.497E1,4.482E1,0.0E0,80,55,948,1,93,4,2,472,60,11.22,59.6,18,9,65,9.38E1,438,3,7.246E1
http://statistics.gov.scot/id/statistical-geography/S01009338,111144,9,15,2.342E1,1.584E1,0.0E0,240,150,967,10,96,2,0,520,175,27.79,211.84,138,19,124,3.02E1,157,3,1.771E1
http://statistics.gov.scot/id/statistical-geography/S01009345,108746,14,11,5.76E0,4.83E0,0.0E0,210,125,917,6,98,1,0,386,85,19.22,115.81,92,8,45,3.0E-1,1,4,2.741E1
http://statistics.gov.scot/id/statistical-geography/S01009339,86500,6,13,2.711E1,1.792E1,0.0E0,230,125,928,8,98,1,0,449,170,24.66,167.32,129,23,133,3.12E1,140,3,2.612E1
http://statistics.gov.scot/id/statistical-geography/S01009344,91539,9,6,1.691E1,1.143E1,0.0E0,145,95,672,7,98,1,0,320,100,22.06,198.97,119,12,50,6.6E0,21,3,2.51E1
http://statistics.gov.scot/id/statistical-geography/S01009341,89656,13,4,1.726E1,1.183E1,0.0E0,120,75,620,6,97,1,0,278,125,21.13,93.35,93,11,46,0,0,3,2.861E1
http://statistics.gov.scot/id/statistical-geography/S01007027,122265,10,8,4.5E0,3.16E0,0.0E0,155,95,1025,12,90,3,5,556,95,17.94,87.76,89,9,50,5.3E0,29,4,1.768E1
http://statistics.gov.scot/id/statistical-geography/S01007028,204240,20,8,7.5E-1,5.1E-1,8.0E-1,110,65,867,2,88,3,4,462,70,17.04,24.58,38,5,27,2.6E0,12,5,9.0E-2
http://statistics.gov.scot/id/statistical-geography/S01007029,165417,6,2,0,0,0.0E0,95,55,530,5,90,4,1,244,60,11.81,25.22,88,6,19,0,0,5,5.0E-2
http://statistics.gov.scot/id/statistical-geography/S01007030,160411,9,6,5.0E-1,1.4E-1,0.0E0,140,75,755,6,96,1,1,359,70,18.68,53.05,95,10,42,3.1E0,11,4,1.251E1
http://statistics.gov.scot/id/statistical-geography/S01009454,159675,10,6,4.4E0,3.32E0,0.0E0,155,95,929,7,95,2,3,417,40,13.09,54.42,70,4,20,3.36E1,140,4,1.423E1
http://statistics.gov.scot/id/statistical-geography/S01009636,40859,17,18,1.623E1,1.115E1,1.0E2,190,115,863,13,91,5,0,590,215,28.2,183.47,109,33,184,88,519,3,1.912E1
http://statistics.gov.scot/id/statistical-geography/S01011871,257294,66,18,9.4E-1,6.2E-1,0.0E0,260,160,1518,12,95,2,1,655,60,17.12,37.24,80,4,38,2.8E0,19,4,1.2E-1
http://statistics.gov.scot/id/statistical-geography/S01011872,382480,18,7,1.8E-1,8.0E-2,1.8E0,155,85,993,2,95,2,1,438,50,10.97,30.58,44,3,19,0,0,6,6.0E-2
http://statistics.gov.scot/id/statistical-geography/S01011873,206792,12,5,5.5E-1,2.4E-1,0.0E0,110,65,739,4,98,1,0,352,60,17.82,13.7,62,6,26,1.05E1,37,4,1.2E-1
http://statistics.gov.scot/id/statistical-geography/S01011874,204333,6,5,2.14E0,1.67E0,0.0E0,95,55,642,11,98,0,1,289,70,18.69,10.41,108,4,16,6.2E0,18,4,4.16E0
http://statistics.gov.scot/id/statistical-geography/S01011875,161178,12,10,4.41E0,3.04E0,6.9E0,115,65,686,3,97,1,0,327,75,17.46,22.09,56,5,18,1.04E1,34,4,3.88E0
http://statistics.gov.scot/id/statistical-geography/S01006794,265796,8,5,5.4E-1,0,0.0E0,90,55,564,8,96,1,1,295,60,21.85,18.96,83,10,31,0,0,4,9.1E0
http://statistics.gov.scot/id/statistical-geography/S01006795,240623,20,6,3.62E0,1.69E0,0.0E0,105,60,770,5,92,3,1,343,40,16.81,24.16,80,5,20,1.78E1,61,6,4.95E0
http://statistics.gov.scot/id/statistical-geography/S01006796,334068,19,9,1.3E0,7.4E-1,0.0E0,165,85,890,3,94,3,2,342,20,15.35,4.78,65,3,15,1.2E0,4,6,1.1E-1
http://statistics.gov.scot/id/statistical-geography/S01006797,387273,11,5,0,0,0.0E0,65,35,666,7,89,3,6,273,35,17.34,15.59,91,3,12,5.5E0,15,5,2.0E-2
